uid,name,short_name,nickname,country_code3,city,founded_year,primary_color,secondary_color,kit_pattern,reputation,venue_uid,training_facilities,youth_facilities,recruitment,physio_rating,bank_balance,debt,transfer_budget,wage_budget_monthly,is_active
club-madrid-fs,Madrid FS,MAD,Los Rojos,ESP,Madrid,1975,#E63946,#FFFFFF,solid,85.0,venue-jorge-garzon,16,15,14,15,2500000,0,800000,120000,1
club-sevilla-fs,Sevilla FS,SEV,Los Blancos,ESP,Sevilla,1982,#FFFFFF,#D00000,stripes,78.0,venue-blas-infante,14,13,13,14,1800000,100000,600000,100000,1
club-zaragoza-fs,Zaragoza FS,ZAR,Los Maños,ESP,Zaragoza,1990,#2A9D8F,#FFFFFF,halved,72.0,venue-pabellon-norte,13,12,12,13,1200000,50000,400000,80000,1
club-valencia-fs,Valencia FS,VAL,Los Naranjas,ESP,Valencia,1978,#F4A261,#264653,solid,75.0,venue-olimpico,14,13,12,13,1500000,0,500000,90000,1
club-guadalajara-fs,Guadalajara FS,GUA,Los Alcarreños,ESP,Guadalajara,1995,#E9C46A,#264653,sash,65.0,venue-guadalajara-arena,12,11,11,12,800000,0,300000,60000,1
club-cartagena-fs,Cartagena FS,CAR,Los Cartageneros,ESP,Cartagena,1988,#9B5DE5,#F15BB5,stripes,70.0,venue-cartagena-futsal,13,12,11,12,1000000,0,350000,70000,1
club-burela-fs,Burela FS,BUR,Los Gallegos,ESP,Burela,2001,#00BBF9,#00F5D4,solid,60.0,venue-burela-pavilion,11,10,10,11,600000,0,250000,50000,1
club-noia-fs,Noia FS,NOI,Los Noieses,ESP,Noia,1998,#8D99AE,#EF476F,solid,58.0,venue-noia-pavilion,11,10,10,11,500000,0,200000,45000,1
club-ourense-fs,Ourense FS,OUR,Los Ourensanos,ESP,Ourense,2003,#06D6A0,#118AB2,solid,52.0,venue-ourense-arena,10,9,9,10,400000,0,180000,40000,1
club-santiago-fs,Santiago FS,SAN,Los Compostelanos,ESP,Santiago,2005,#EF476F,#FFD166,solid,50.0,venue-santiago-fs,10,9,9,10,380000,0,170000,38000,1
club-vigo-fs,Vigo FS,VIG,Los Viguenses,ESP,Vigo,2002,#073B4C,#06D6A0,solid,51.0,venue-vigo-pavilion,10,9,9,10,390000,0,175000,39000,1
club-coruna-fs,Coruña FS,COR,Los Coruñeses,ESP,A Coruña,2004,#118AB2,#FFFFFF,solid,49.0,venue-coruna-futsal,10,9,9,10,370000,0,165000,37000,1
club-gijon-fs,Gijón FS,GIJ,Los Gijoneses,ESP,Gijón,2006,#FFD166,#EF476F,solid,48.0,venue-gijon-arena,9,8,8,9,350000,0,160000,35000,1
club-oviedo-fs,Oviedo FS,OVI,Los Ovetenses,ESP,Oviedo,2007,#06D6A0,#073B4C,solid,47.0,venue-oviedo-fs,9,8,8,9,340000,0,155000,34000,1
club-bilbao-fs,Bilbao FS,BIL,Los Bilbaínos,ESP,Bilbao,2001,#D00000,#FFFFFF,solid,53.0,venue-bilbao-pavilion,10,9,10,10,410000,0,185000,41000,1
club-donosti-fs,Donosti FS,DON,Los Donostiarras,ESP,Donostia,2003,#0077B6,#00B4D8,solid,50.0,venue-donosti-futsal,10,9,9,10,385000,0,172000,38500,1
