person_uid,club_uid,scope,signed_on,effective_from,effective_until,wage_monthly,release_clause,squad_number
person-club-madrid-fs-001,club-madrid-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,3978,198900,1
person-club-madrid-fs-002,club-madrid-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,4252,212600,2
person-club-madrid-fs-003,club-madrid-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,4661,233050,3
person-club-madrid-fs-004,club-madrid-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,4539,226950,4
person-club-madrid-fs-005,club-madrid-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,4935,0,5
person-club-madrid-fs-006,club-madrid-fs,primer_equipo,2026-07-01,2026-07-01,2029-06-30,4410,220500,6
person-club-madrid-fs-007,club-madrid-fs,primer_equipo,2026-07-01,2026-07-01,2029-06-30,4585,229250,7
person-club-madrid-fs-008,club-madrid-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,4310,215500,8
person-club-madrid-fs-009,club-madrid-fs,primer_equipo,2026-07-01,2026-07-01,2029-06-30,4783,239150,9
person-club-madrid-fs-010,club-madrid-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,4844,242200,10
person-club-madrid-fs-011,club-madrid-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,4264,213200,11
person-club-madrid-fs-012,club-madrid-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,4629,231450,12
person-club-madrid-fs-coach,club-madrid-fs,staff,2026-07-01,2026-07-01,2028-06-30,4115,0,
person-club-sevilla-fs-001,club-sevilla-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,4308,0,1
person-club-sevilla-fs-002,club-sevilla-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,4818,240900,2
person-club-sevilla-fs-003,club-sevilla-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,4638,231900,3
person-club-sevilla-fs-004,club-sevilla-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,4547,227350,4
person-club-sevilla-fs-005,club-sevilla-fs,primer_equipo,2026-07-01,2026-07-01,2029-06-30,4702,235100,5
person-club-sevilla-fs-006,club-sevilla-fs,primer_equipo,2026-07-01,2026-07-01,2029-06-30,4543,227150,6
person-club-sevilla-fs-007,club-sevilla-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,4050,0,7
person-club-sevilla-fs-008,club-sevilla-fs,primer_equipo,2026-07-01,2026-07-01,2029-06-30,4445,222250,8
person-club-sevilla-fs-009,club-sevilla-fs,primer_equipo,2026-07-01,2026-07-01,2031-06-30,3916,195800,9
person-club-sevilla-fs-010,club-sevilla-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,3974,198700,10
person-club-sevilla-fs-011,club-sevilla-fs,primer_equipo,2026-07-01,2026-07-01,2029-06-30,3915,0,11
person-club-sevilla-fs-012,club-sevilla-fs,primer_equipo,2026-07-01,2026-07-01,2029-06-30,4280,0,12
person-club-sevilla-fs-coach,club-sevilla-fs,staff,2026-07-01,2026-07-01,2028-06-30,3736,0,
person-club-zaragoza-fs-001,club-zaragoza-fs,primer_equipo,2026-07-01,2026-07-01,2030-06-30,4243,212150,1
person-club-zaragoza-fs-002,club-zaragoza-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,4128,206400,2
person-club-zaragoza-fs-003,club-zaragoza-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,4638,231900,3
person-club-zaragoza-fs-004,club-zaragoza-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,4380,0,4
person-club-zaragoza-fs-005,club-zaragoza-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,3856,192800,5
person-club-zaragoza-fs-006,club-zaragoza-fs,primer_equipo,2026-07-01,2026-07-01,2029-06-30,3941,197050,6
person-club-zaragoza-fs-007,club-zaragoza-fs,primer_equipo,2026-07-01,2026-07-01,2029-06-30,4022,0,7
person-club-zaragoza-fs-008,club-zaragoza-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,4281,214050,8
person-club-zaragoza-fs-009,club-zaragoza-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,4322,216100,9
person-club-zaragoza-fs-010,club-zaragoza-fs,primer_equipo,2026-07-01,2026-07-01,2029-06-30,3995,0,10
person-club-zaragoza-fs-011,club-zaragoza-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,4303,215150,11
person-club-zaragoza-fs-012,club-zaragoza-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,4134,0,12
person-club-zaragoza-fs-coach,club-zaragoza-fs,staff,2026-07-01,2026-07-01,2029-06-30,5166,0,
