season_label,competition_uid,club_uid,status
2026/27,comp-lnfs-primera,club-madrid-fs,activo
2026/27,comp-lnfs-primera,club-sevilla-fs,activo
2026/27,comp-lnfs-primera,club-zaragoza-fs,activo
2026/27,comp-lnfs-primera,club-valencia-fs,activo
2026/27,comp-lnfs-primera,club-guadalajara-fs,activo
2026/27,comp-lnfs-primera,club-cartagena-fs,activo
2026/27,comp-lnfs-primera,club-burela-fs,activo
2026/27,comp-lnfs-primera,club-noia-fs,activo
2026/27,comp-lnfs-segunda,club-ourense-fs,activo
2026/27,comp-lnfs-segunda,club-santiago-fs,activo
2026/27,comp-lnfs-segunda,club-vigo-fs,activo
2026/27,comp-lnfs-segunda,club-coruna-fs,activo
2026/27,comp-lnfs-segunda,club-gijon-fs,activo
2026/27,comp-lnfs-segunda,club-oviedo-fs,activo
2026/27,comp-lnfs-segunda,club-bilbao-fs,activo
2026/27,comp-lnfs-segunda,club-donosti-fs,activo
