uid,name,city,country_code3,capacity,surface
venue-jorge-garzon,Jorge Garzón,Madrid,ESP,5000,parquet
venue-blas-infante,Blas Infante,Sevilla,ESP,4200,parquet
venue-pabellon-norte,Pabellón Norte,Zaragoza,ESP,3800,linoleum
venue-olimpico,Olimpico,Valencia,ESP,4500,parquet
venue-guadalajara-arena,Guadalajara Arena,Guadalajara,ESP,3500,pvc
venue-cartagena-futsal,Cartagena Futsal,Cartagena,ESP,3200,parquet
venue-burela-pavilion,Burela Pavilion,Burela,ESP,2800,parquet
venue-noia-pavilion,Noia Pavilion,Noia,ESP,2500,linoleum
venue-ourense-arena,Ourense Arena,Ourense,ESP,2200,parquet
venue-santiago-fs,Santiago FS,Santiago,ESP,2100,parquet
venue-vigo-pavilion,Vigo Pavilion,Vigo,ESP,2300,linoleum
venue-coruna-futsal,Coruña Futsal,A Coruña,ESP,2400,parquet
venue-gijon-arena,Gijón Arena,Gijón,ESP,2000,pvc
venue-oviedo-fs,Oviedo FS,Oviedo,ESP,1900,parquet
venue-bilbao-pavilion,Bilbao Pavilion,Bilbao,ESP,2600,parquet
venue-donosti-futsal,Donosti Futsal,Donostia,ESP,2500,parquet
